anio,tasa_satisfaccion_democracia,tasa_apoyo_democracia,tasa_apoyo_autoritarismo,tasa_econ_pais_positiva,confianza_congreso_alta,confianza_judicial_alta,confianza_partidos_alta,n_encuestados,estado_anio
2007,36.0313315926893,68.55624446412754,14.08325952170062,26.5993265993266,5.956375838926174,10.076206604572397,7.846410684474123,1200.0,observado
2008,39.532794249775385,63.23251417769376,18.43100189035917,26.17056856187291,37.040205303678356,20.73170731707317,15.120274914089347,1200.0,observado
2009,35.95302619692863,47.92626728110599,27.92626728110599,16.107382550335572,26.225279449699055,19.217391304347824,14.888123924268502,1200.0,observado
2010,50.431778929188255,69.07775768535262,12.839059674502712,21.219715956558062,24.00339270568278,21.947053800170796,20.660457239627434,1200.0,observado
2011,49.82876712328767,63.509991311902695,24.413553431798437,32.30383973288815,46.49196956889264,32.60320134793597,33.89261744966443,1200.0,observado
2012,55.53453860040352,64.69150359245928,19.790550966340135,44.603802711632355,48.79128679786914,36.470377045276,32.379445814823804,,imputado
2013,61.24031007751938,65.87301587301587,15.167548500881834,56.90376569037657,51.09060402684564,40.33755274261603,30.86627417998318,1200.0,observado
2014,60.43276151235424,70.19485591541832,15.88781642970278,48.76047333726501,43.6624568251383,40.43104371479363,28.40542928142736,,imputado
2015,59.6252129471891,74.51669595782074,16.608084358523726,40.617180984153464,36.23430962343096,40.524534686971236,25.944584382871536,1200.0,observado
2016,41.993185689948895,69.78165938864629,12.489082969432314,18.94383906119028,34.35114503816794,35.269000853970965,27.18035563082134,1200.0,observado
2017,51.64835164835165,71.56357388316151,11.683848797250858,26.733500417710943,30.0,27.28813559322034,20.473773265651438,1200.0,observado
2018,36.53516295025729,52.691968225948806,19.593998234774933,17.111853088480803,26.06382978723404,24.821428571428573,19.056261343012704,1200.0,observado
2019,23.336309997465413,45.20940340619312,19.204831018056044,11.649572029190235,19.537016934433346,21.48605675146771,13.981056880157752,,imputado
2020,10.137457044673539,37.72683858643744,18.815663801337156,6.187290969899665,13.010204081632653,18.15068493150685,8.9058524173028,1200.0,observado
2021,10.749310879698042,38.412874469811335,19.35381170985201,7.016158950742118,13.10296195854288,16.721476626639955,9.497649859362506,,imputado
2022,11.361164714722547,39.09891035318524,19.891959618366865,7.845026931584569,13.195719835453104,15.292268321773065,10.089447301422211,,imputado
2023,11.97301854974705,39.784946236559136,20.43010752688172,8.673894912427022,13.288477712363331,13.863060016906172,10.681244743481917,1200.0,observado
2024,19.06354515050167,43.541488451668094,21.300256629597946,9.0,18.036912751677853,17.946577629382304,12.573344509639565,1200.0,observado
