country_name,country_text_id,country_id,anio,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2x_freexp_altinf,v2xel_frefair,v2xcl_rol,v2x_jucon,v2xlg_legcon,v2xeg_eqprotec,v2xeg_eqaccess,v2xeg_eqdr,v2pepwrses,v2pepwrsoc,v2pepwrgen,v2pepwrort,v2pepwrgeo,tasa_participacion_global,tasa_desempleo,empleo_formal,empleo_informal,ingreso_promedio_pc,ingreso_promedio_laboral,gini_ingpc,pobreza_ingresos,pobreza_extrema_ingresos,n_personas_muestra,latino_tasa_satisfaccion_democracia,latino_tasa_apoyo_democracia,latino_tasa_apoyo_autoritarismo,latino_tasa_econ_pais_positiva,latino_confianza_congreso_alta,latino_confianza_judicial_alta,latino_confianza_partidos_alta,latino_n_encuestados,latino_estado_anio
Ecuador,ECU,75,2007,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605023,0.5309444786885009,31.045293428830483,12.983930984836595,129876,36.0313315926893,68.55624446412754,14.08325952170062,26.5993265993266,5.956375838926174,10.076206604572397,7.846410684474123,1200.0,observado
Ecuador,ECU,75,2008,0.632,0.351,0.473,0.477,0.416,0.779,0.743,0.837,0.246,0.3,0.547,0.715,0.582,0.631375,0.63025,0.61025,0.536375,0.451875,67.94894391993591,6.143136239884134,48.025829634431226,40.97892771992252,159.2878682057877,11413.616121393588,0.5122260700889409,35.030992822694024,15.592375394729972,169111,39.532794249775385,63.23251417769376,18.43100189035917,26.17056856187291,37.04020530367836,20.73170731707317,15.120274914089348,1200.0,observado
Ecuador,ECU,75,2009,0.612,0.332,0.443,0.441,0.409,0.786,0.739,0.845,0.244,0.252,0.549,0.715,0.623,0.631375,0.63025,0.61025,0.536375,0.451875,66.36029621547341,7.976810759610129,53.355707919702894,36.47283390416175,171.97232601780303,20767.445840467182,0.4985380664126434,30.367704385659277,11.942916840383578,157465,35.95302619692863,47.92626728110599,27.92626728110599,16.107382550335572,26.225279449699052,19.217391304347824,14.888123924268502,1200.0,observado
Ecuador,ECU,75,2010,0.588,0.311,0.415,0.408,0.417,0.749,0.736,0.83,0.223,0.252,0.646,0.775,0.616,0.67275,0.671,0.61025,0.536375,0.451875,64.42158764259301,6.70996268089685,51.057031630750416,38.74914685151865,174.39013148953754,15824.317140817991,0.50020811169462,32.88631719851673,13.935550429326897,212548,50.431778929188255,69.07775768535262,12.839059674502712,21.219715956558066,24.00339270568278,21.9470538001708,20.660457239627437,1200.0,observado
Ecuador,ECU,75,2011,0.587,0.311,0.412,0.403,0.417,0.744,0.736,0.83,0.223,0.252,0.646,0.775,0.616,0.67275,0.671,0.61025,0.56375,0.451875,62.48609350612061,5.294552432170632,52.002765838706345,38.18088215380262,188.5151424332479,12071.66786247315,0.4803620608257124,29.09246637108352,11.984365633599522,199661,49.82876712328767,63.509991311902695,24.41355343179844,32.30383973288815,46.49196956889264,32.60320134793597,33.89261744966443,1200.0,observado
Ecuador,ECU,75,2012,0.589,0.307,0.412,0.393,0.418,0.754,0.736,0.825,0.223,0.219,0.639,0.775,0.618,0.67275,0.671,0.61025,0.56375,0.451875,63.02368185938412,4.381169218285805,53.75669486279321,37.090232654736205,205.3453065760128,20641.77214209639,0.4627053862165179,26.32958545997153,10.29240293772992,191565,55.53453860040352,64.69150359245928,19.79055096634013,44.60380271163236,48.79128679786914,36.470377045276,32.379445814823804,,imputado
Ecuador,ECU,75,2013,0.541,0.268,0.37,0.352,0.385,0.687,0.703,0.82,0.194,0.155,0.639,0.775,0.618,0.67275,0.671,0.61025,0.56375,0.451875,62.52657064072601,4.254391422488395,53.67823584306456,37.72749182871432,219.60513447467056,15574.697610782396,0.4701265936414618,24.656407485789085,8.563191388049944,206857,61.24031007751938,65.87301587301587,15.167548500881834,56.90376569037657,51.09060402684564,40.33755274261603,30.86627417998318,1200.0,observado
Ecuador,ECU,75,2014,0.54,0.265,0.369,0.343,0.384,0.692,0.699,0.82,0.176,0.143,0.642,0.775,0.616,0.67275,0.671,0.61025,0.56375,0.451875,63.15331969608182,4.296213552496763,50.41961353532819,40.42737909448117,215.79766001618316,3490.7187233558307,0.4795576352555902,23.507619776518474,7.844419641775074,349826,60.43276151235424,70.19485591541832,15.88781642970278,48.76047333726501,43.6624568251383,40.43104371479363,28.40542928142736,,imputado
Ecuador,ECU,75,2015,0.534,0.263,0.366,0.344,0.381,0.693,0.702,0.825,0.176,0.145,0.646,0.775,0.616,0.67275,0.671,0.61025,0.56375,0.436375,66.1570740648327,4.342352281657194,50.574323215222215,40.589731750127775,223.8918216836448,6671.074935314765,0.4689247969408933,22.643948181668964,7.904845410646298,346519,59.6252129471891,74.51669595782074,16.608084358523726,40.61718098415346,36.23430962343096,40.52453468697124,25.944584382871536,1200.0,observado
Ecuador,ECU,75,2016,0.543,0.268,0.368,0.347,0.389,0.707,0.702,0.825,0.176,0.146,0.646,0.787,0.616,0.67275,0.671,0.632125,0.60775,0.436375,68.21568447073851,5.361389621706833,48.22618855135919,43.5545240608018,223.7417410509868,4074.888606385775,0.4702994375853837,23.30717139132644,8.62692332649483,289388,41.993185689948895,69.78165938864629,12.489082969432314,18.94383906119028,34.35114503816794,35.269000853970965,27.18035563082134,1200.0,observado
