country_name,country_text_id,country_id,anio,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2x_freexp_altinf,v2xel_frefair,v2xcl_rol,v2x_jucon,v2xlg_legcon,v2xeg_eqprotec,v2xeg_eqaccess,v2xeg_eqdr,v2pepwrses,v2pepwrsoc,v2pepwrgen,v2pepwrort,v2pepwrgeo
Ecuador,ECU,75,2007,0.671,0.409,0.478,0.52,0.425,0.81,0.761,0.835,0.353,0.416,0.503,0.703,0.535,0.631375,0.63025,0.57875,0.46025,0.439
Ecuador,ECU,75,2008,0.632,0.351,0.473,0.477,0.416,0.779,0.743,0.837,0.246,0.3,0.547,0.715,0.582,0.631375,0.63025,0.61025,0.536375,0.451875
Ecuador,ECU,75,2009,0.612,0.332,0.443,0.441,0.409,0.786,0.739,0.845,0.244,0.252,0.549,0.715,0.623,0.631375,0.63025,0.61025,0.536375,0.451875
Ecuador,ECU,75,2010,0.588,0.311,0.415,0.408,0.417,0.749,0.736,0.83,0.223,0.252,0.646,0.775,0.616,0.67275,0.671,0.61025,0.536375,0.451875
Ecuador,ECU,75,2011,0.587,0.311,0.412,0.403,0.417,0.744,0.736,0.83,0.223,0.252,0.646,0.775,0.616,0.67275,0.671,0.61025,0.56375,0.451875
Ecuador,ECU,75,2012,0.589,0.307,0.412,0.393,0.418,0.754,0.736,0.825,0.223,0.219,0.639,0.775,0.618,0.67275,0.671,0.61025,0.56375,0.451875
Ecuador,ECU,75,2013,0.541,0.268,0.37,0.352,0.385,0.687,0.703,0.82,0.194,0.155,0.639,0.775,0.618,0.67275,0.671,0.61025,0.56375,0.451875
Ecuador,ECU,75,2014,0.54,0.265,0.369,0.343,0.384,0.692,0.699,0.82,0.176,0.143,0.642,0.775,0.616,0.67275,0.671,0.61025,0.56375,0.451875
Ecuador,ECU,75,2015,0.534,0.263,0.366,0.344,0.381,0.693,0.702,0.825,0.176,0.145,0.646,0.775,0.616,0.67275,0.671,0.61025,0.56375,0.436375
Ecuador,ECU,75,2016,0.543,0.268,0.368,0.347,0.389,0.707,0.702,0.825,0.176,0.146,0.646,0.787,0.616,0.67275,0.671,0.632125,0.60775,0.436375
Ecuador,ECU,75,2017,0.555,0.342,0.38,0.438,0.393,0.726,0.669,0.848,0.265,0.514,0.636,0.775,0.627,0.659125,0.671,0.6245,0.622875,0.436375
Ecuador,ECU,75,2018,0.643,0.46,0.448,0.493,0.426,0.835,0.695,0.855,0.515,0.676,0.532,0.743,0.565,0.616125,0.667625,0.6245,0.622875,0.436375
Ecuador,ECU,75,2019,0.618,0.45,0.429,0.459,0.405,0.806,0.692,0.857,0.527,0.703,0.498,0.744,0.575,0.63875,0.644,0.6245,0.622875,0.436375
Ecuador,ECU,75,2020,0.623,0.473,0.437,0.438,0.402,0.856,0.694,0.865,0.575,0.78,0.498,0.725,0.558,0.63875,0.6271249999999999,0.6245,0.622875,0.436375
Ecuador,ECU,75,2021,0.628,0.458,0.434,0.471,0.381,0.801,0.752,0.859,0.537,0.689,0.517,0.687,0.429,0.609625,0.60875,0.6058749999999999,0.5765,0.501625
Ecuador,ECU,75,2022,0.659,0.5,0.466,0.396,0.386,0.822,0.771,0.847,0.568,0.791,0.46,0.673,0.398,0.591625,0.60875,0.598625,0.498875,0.470125
Ecuador,ECU,75,2023,0.639,0.46,0.49,0.385,0.351,0.755,0.785,0.753,0.515,0.788,0.384,0.665,0.338,0.610125,0.59325,0.58375,0.498875,0.455625
Ecuador,ECU,75,2024,0.651,0.446,0.504,0.35,0.309,0.748,0.829,0.696,0.472,0.753,0.255,0.521,0.309,0.53025,0.54025,0.549125,0.498875,0.5
