feature,importancia_media_abs_shap
confidence_congress_alta,0.1316569471750437
econ_situation_cat,0.1138239197214578
confidence_judiciary_alta,0.0835494069979621
democ_supp_cat,0.06150259838787463
empleo_formal,0.018243183036425727
confidence_army_alta,0.013819078940019927
v2x_delibdem,0.00903245412837866
resp_age,0.00617865844881201
empleo_informal,0.005785462492779538
resp_religion,0.005626872909698753
v2xlg_legcon,0.00554044948450115
ideologia_cat,0.004897887141310433
resp_employment,0.003916473645268097
v2pepwrgen,0.003725288611261014
tasa_participacion_global,0.0036841386204383634
