feature,importancia_media_abs_shap
econ_situation_cat,0.47026798
democ_supp_cat,0.31774
confidence_congress_alta,0.27354348
resp_economic_perception_cat,0.25215223
confidence_political_parties_alta,0.14066413
confidence_police_alta,0.11488258
tasa_participacion_global,0.10741859
confidence_army_alta,0.10184897
tasa_desempleo,0.095590055
resp_education,0.07085145
resp_employment,0.06749316
goods_hot_water_bin,0.061954323
confidence_judiciary_alta,0.059999615
ideologia_cat,0.057182856
goods_wash_mach_bin,0.052644152
